origin_id,destination_id,trips_person,intrazonal_factor,mc_distance_m,mc2_distance_m,sense_candidate
1081,1349,1.0,0,11.832403189536198,21493.21016006547,0
1258,1255,40.37,0,0.0,0.0,
1027,1001,1.0,0,0.0,0.0,
1349,60,1.0,0,31265.48411610961,47499.35593578104,0
1273,1158,1.0,0,7.675418431869771,7.675418431869771,
1010,1348,1.0,0,10740.68887843797,10740.68887843797,
1274,1226,11.35,0,10740.688878437964,10740.688878437964,
1246,1348,1.0,0,0.0,0.0,
1350,1100,1.0,0,10740.688878437964,10740.688878437964,
19,1158,1.0,0,120763.58636660235,120763.58636660235,
1325,1012,1.0,0,10752.5212816275,10752.5212816275,
211,1231,1.0,0,10740.688878437964,10740.688878437964,
1346,1269,133.99,0,10752.521281627507,10752.521281627507,
125,1115,10.81,0,115623.96226189258,115623.96226189258,
1237,1193,1.0,0,0.0,21505.042563255007,0
1324,1054,1.0,0,0.0,21481.377756875932,0
1348,1190,18.61,0,7.675418431869771,7.675418431869771,
1325,1005,1.0,0,0.0,0.0,
1320,1327,30.11,0,10752.521281627507,10752.521281627507,
1350,1005,1.0,0,0.0,0.0,
1196,1325,24.69,0,10752.521281627507,10752.521281627507,
1325,1272,1.0,0,0.0,0.0,
5,1117,1.0,0,172258.82222196515,172258.82222196515,
1354,1277,1.0,0,10740.68887843797,10740.68887843797,
1348,1349,223.98,0,10740.688878437964,10740.688878437964,
1320,1324,12.76,0,11.832403189536198,21493.21016006547,0
1288,1330,14.29,0,0.0,0.0,
104,1132,1.0,0,12357.546424437049,12357.546424437049,
1277,1146,1.0,0,7.675418431869771,7.675418431869771,
1348,1034,1.0,0,10740.688878437964,10740.688878437964,
1132,106,1.0,0,3612.6680555786625,3612.6680555786625,
125,1108,1.0,0,121383.5298533849,126376.48354352008,1-4
203,1257,1.0,0,11060.076966043063,11060.076966043063,
1348,1273,18.12,0,7.675418431869771,7.675418431869771,
1142,1348,13.51,0,0.0,0.0,
1257,1324,396.19,0,10740.688878437964,10740.688878437964,
1343,1001,1.0,0,18530.209617639182,18530.209617639182,
1226,1277,1.0,0,10740.68887843797,10740.68887843797,
1131,1270,1.0,0,0.0,0.0,
56,1187,1.0,0,11060.076966043063,11060.076966043063,
1343,1330,1.0,0,18530.209617639182,18530.209617639182,
1346,1141,1.0,0,10752.521281627507,10752.521281627507,
1293,1349,1.0,0,10740.688878437964,10740.688878437964,
56,211,1.0,0,11060.076966043063,11060.076966043063,
1335,1346,12.23,0,10760.196700059369,10760.19670005937,1-4
1324,1276,46.06,0,10740.68887843797,10740.68887843797,
28,1066,1.0,0,131826.1765194634,134810.7847357124,1-4
1350,104,74.0,0,12357.546424437049,12357.546424437049,
1330,1020,1.0,0,0.0,0.0,
1344,1266,1.0,0,10988.544911714964,10988.544911714964,
2,1094,1.0,0,177036.3414609844,186479.67947759753,1-4
1352,211,1.0,0,0.0,0.0,
1330,1140,1.0,0,0.0,0.0,
205,1349,1.0,0,11.832403189536198,21493.21016006547,0
1324,1193,1.0,0,11.832403189536198,21493.21016006547,0
1325,1102,11.44,0,0.0,0.0,
1145,1190,11.34,0,0.0,15.350836863739541,0
1132,1354,1.0,0,10740.688878437964,10740.688878437964,
1132,1276,1.0,0,0.0,0.0,
1132,1331,1.0,0,0.0,0.0,
150,1009,1.0,0,14340.780025221125,17325.388241470057,1-4
8,1086,1.0,0,177048.17386417394,186491.51188078706,1-4
1348,1258,427.38,0,0.0,0.0,
1235,1325,1.0,0,10740.68887843797,10740.68887843797,
1056,1348,1.0,0,10752.521281627507,10752.521281627507,
1324,1055,1.0,0,11.832403189536198,21493.21016006547,0
1346,1106,1.0,0,11.832403189536198,21493.21016006547,0
1352,1255,14.3,0,0.0,0.0,
1350,1288,39.98,0,0.0,0.0,
1258,1274,1.0,0,0.0,0.0,
1228,1352,1.0,0,10740.68887843797,10740.68887843797,
1258,1283,1.0,0,15.8446719782807,15.8446719782807,
1207,1354,1.0,0,11.832403189536198,21493.21016006547,0
1288,1132,1.0,0,0.0,0.0,
1286,1265,1.0,0,0.0,0.0,
1132,1288,1.0,0,0.0,0.0,
1276,1348,17.37,0,0.0,0.0,
1,1114,1.0,0,175738.99059915956,175738.99059915956,
1331,1196,1.0,0,10752.5212816275,10752.5212816275,
25,1115,13.52,0,175738.99059915956,175738.99059915956,
103,1350,16.9,0,18795.140288219744,18795.140288219744,
1026,1350,1.0,0,0.0,0.0,
1257,1347,1.0,0,10752.5212816275,10752.5212816275,
20,1286,10.55,0,10740.68887843797,10740.68887843797,
1330,1270,10.36,0,0.0,0.0,
1232,115,1.0,0,2456.2819124938596,21729.23379015293,0
205,1325,1.0,0,10752.521281627507,10752.521281627507,
1286,1269,1.0,0,0.0,0.0,
1274,205,1.0,0,10752.5212816275,10752.5212816275,
1349,1182,1.0,0,10740.68887843797,10740.68887843797,
1228,204,1.0,0,11.832403189536198,21493.21016006547,0
1115,69,1.0,0,175738.9905991601,175738.9905991601,
1354,104,1.0,0,20113.627086626064,23098.23530287502,4-1
1324,1041,1.0,0,10740.68887843797,10740.68887843797,
1331,1190,1.0,0,7.675418431869771,7.675418431869771,
204,1028,1.0,0,10752.521281627507,10752.521281627507,
1232,1225,1.0,0,0.0,21481.377756875932,0
1227,209,11.29,0,1666.0069170689947,21800.76584448103,0
1227,1132,1.0,0,10740.68887843797,10740.68887843797,
25,60,1.0,0,155154.98634974117,212497.65765650262,1-4
1182,1299,1.0,0,7.675418431869771,7.675418431869771,
1025,1346,1.0,0,10752.5212816275,10752.5212816275,
1291,1136,1.0,0,0.0,0.0,
1196,1327,1.0,0,10752.521281627507,10752.521281627507,
1210,1276,12.54,0,0.0,0.0,
211,1268,1.0,0,0.0,0.0,
26,1029,1.0,0,175738.99059915956,175738.99059915956,
1331,1324,1.0,0,10740.688878437964,10740.688878437964,
1025,205,1.0,0,10752.5212816275,10752.5212816275,
1343,1110,1.0,0,12624.92452785803,29270.89849607715,0
1110,1350,1.0,0,10740.68887843797,10740.68887843797,
1127,1346,1.0,0,20733.51107555661,23718.11929180554,1-4
1327,1174,1.0,0,7.675418431869771,7.675418431869771,
104,1136,1.0,0,12357.546424437049,12357.546424437049,
1239,1325,10.83,0,0.0,0.0,
1258,1277,1.0,0,0.0,0.0,
1293,1269,11.66,0,0.0,0.0,
1348,151,1.0,0,44124.95171457098,44124.95171457098,
1346,165,12.18,0,0.0,21505.042563255007,0
104,20,1.0,0,20113.62708662608,23098.235302875015,1-4
1296,115,1.0,0,11004.389583693239,11004.38958369324,1-4
1331,1291,11.13,0,0.0,0.0,
133,1348,1.0,0,63781.15773721381,63781.15773721381,
1350,1340,1.0,0,18705.626830960555,18705.626830960555,
1325,1335,11.02,0,7.675418431869771,7.675418431869771,
114,1132,1.0,0,50400.879470264445,50400.879470264445,
1225,1344,1.0,0,2456.2819124938596,21729.23379015293,0
1324,1145,10.05,0,10748.36429686984,10748.36429686984,4-1
1346,71,1.0,0,163398.87647041472,172842.2144870279,4-1
1236,1348,11.7,0,10752.521281627507,10752.521281627507,
1344,1350,35.81,0,10988.544911714964,10988.544911714964,
1322,1257,1.0,0,10752.521281627507,10752.521281627507,
1331,1274,1.0,0,0.0,0.0,
1350,1160,1.0,0,7.675418431869771,7.675418431869771,
1131,1232,1.0,0,10740.688878437964,10740.688878437964,
1068,1114,1.0,0,10752.521281627507,10752.521281627507,
124,1132,1.0,0,129747.97036248214,129747.97036248214,
1136,1348,194.15,0,0.0,0.0,
1207,1099,1.0,0,11.832403189536198,21493.21016006547,0
1272,1147,1.0,0,0.0,0.0,
1136,107,11.18,0,40515.964232566796,40515.964232566796,
1268,1177,1.0,0,0.0,0.0,
1117,1115,11.17,0,0.0,0.0,
1081,1325,11.75,0,10752.521281627507,10752.521281627507,
130,1029,10.49,0,114751.20015046028,114751.20015046028,
1324,1232,26.68,0,0.0,21481.377756875932,0
205,1231,11.2,0,11.832403189536198,21493.21016006547,0
1344,1258,1.0,0,10988.544911714964,10988.544911714964,
1331,1324,1.0,0,10740.688878437964,10740.688878437964,
1132,114,1.0,0,50400.87947026452,50400.87947026452,
1232,1324,1.0,0,0.0,21481.377756875932,0
1325,1009,1.0,0,10752.5212816275,10752.5212816275,
1273,1331,1.0,0,7.675418431869771,7.675418431869771,
1348,1016,1.0,0,10752.5212816275,10752.5212816275,
60,1350,1.0,0,36758.66705734305,36758.66705734305,
1325,1109,1.0,0,10740.688878437964,10740.688878437964,
1352,1322,1.0,0,10752.5212816275,10752.5212816275,
1327,1322,11.61,0,10752.5212816275,10752.5212816275,
1346,1093,1.0,0,0.0,21505.042563255007,0
1028,1350,1.0,0,0.0,0.0,
1103,1268,10.17,0,10740.68887843797,10740.68887843797,
1280,211,1.0,0,7.675418431869771,7.675418431869771,
1324,1255,340.6,0,10740.68887843797,10740.68887843797,
1293,1222,1.0,0,7.675418431869771,7.675418431869771,
1276,1277,1.0,0,0.0,0.0,
1331,1325,18.06,0,0.0,0.0,
1348,1236,1.0,0,10752.5212816275,10752.5212816275,
1269,104,11.0,0,12357.546424437049,12357.546424437049,
1207,1026,1.0,0,10752.521281627507,10752.521281627507,
1292,1190,12.89,0,7.675418431869771,7.675418431869771,
1258,1267,1.0,0,0.0,0.0,
1227,1320,1.0,0,11.832403189536198,21493.21016006547,0
1147,1327,1.0,0,0.0,0.0,
1277,1276,14.67,0,0.0,0.0,
1349,211,1.0,0,10740.68887843797,10740.68887843797,
1131,1323,1.0,0,10752.5212816275,10752.5212816275,
1331,1325,1.0,0,0.0,0.0,
203,1255,1.0,0,11060.076966043063,11060.076966043063,
1207,1103,1.0,0,11.832403189536198,21493.21016006547,0
1348,1146,1.0,0,7.675418431869771,7.675418431869771,
1346,1267,21.79,0,10752.521281627507,10752.521281627507,
1015,1348,1.0,0,10752.521281627507,10752.521281627507,
1288,1324,22.53,0,10740.688878437964,10740.688878437964,
165,1324,1.0,0,11.832403189536198,21493.21016006547,0
1346,115,13.36,0,2468.114315683396,21741.066193342467,0
62,1029,1.0,0,29216.08917903772,29216.08917903772,
1330,1292,59.06,0,0.0,0.0,
1028,1346,33.48,0,10752.5212816275,10752.5212816275,
1076,1324,1.0,0,11.832403189536198,21493.21016006547,0
1325,1277,18.09,0,0.0,0.0,
1131,60,1.0,0,36758.66705734307,36758.66705734307,
1272,1297,1.0,0,7.675418431869771,7.675418431869771,
1269,1330,20.02,0,0.0,0.0,
115,1228,1.0,0,2456.281912493859,21729.233790152928,0
1289,1216,1.0,0,7.675418431869771,7.675418431869771,
1042,1050,1.0,0,10740.688878437964,10740.688878437964,
1331,1324,1.0,0,10740.688878437964,10740.688878437964,
1325,1132,66.11,0,0.0,0.0,
1324,1330,45.33,0,10740.68887843797,10740.68887843797,
1270,1132,1.0,0,0.0,0.0,
